weight,horsepower,displacement,mpg
3504.00,130.00,307.00,18.00
3693.00,165.00,350.00,15.00
3436.00,150.00,318.00,18.00
3433.00,150.00,304.00,16.00
3449.00,140.00,302.00,17.00
4341.00,198.00,429.00,15.00
4354.00,220.00,454.00,14.00
4312.00,215.00,440.00,14.00
4425.00,225.00,455.00,14.00
3850.00,190.00,390.00,15.00
3563.00,170.00,383.00,15.00
3609.00,160.00,340.00,14.00
3761.00,150.00,400.00,15.00
3086.00,225.00,455.00,14.00
2372.00,95.00,113.00,24.00
2833.00,95.00,198.00,22.00
2774.00,97.00,199.00,18.00
2587.00,85.00,200.00,21.00
2130.00,88.00,97.00,27.00
1835.00,46.00,97.00,26.00
2672.00,87.00,110.00,25.00
2430.00,90.00,107.00,24.00
2375.00,95.00,104.00,25.00
2234.00,113.00,121.00,26.00
2648.00,90.00,199.00,21.00
4615.00,215.00,360.00,10.00
4376.00,200.00,307.00,10.00
4382.00,210.00,318.00,11.00
4732.00,193.00,304.00,9.00
2130.00,88.00,97.00,27.00
2264.00,90.00,140.00,28.00
2228.00,95.00,113.00,25.00
2634.00,100.00,232.00,19.00
3439.00,105.00,225.00,16.00
3329.00,100.00,250.00,17.00
3302.00,88.00,250.00,19.00
3288.00,100.00,232.00,18.00
4209.00,165.00,350.00,14.00
4464.00,175.00,400.00,14.00
4154.00,153.00,351.00,14.00
4096.00,150.00,318.00,14.00
4955.00,180.00,383.00,12.00
4746.00,170.00,400.00,13.00
5140.00,175.00,400.00,13.00
2962.00,110.00,258.00,18.00
2408.00,72.00,140.00,22.00
3282.00,100.00,250.00,19.00
3139.00,88.00,250.00,18.00
2220.00,86.00,122.00,23.00
2123.00,90.00,116.00,28.00
2074.00,70.00,79.00,30.00
2065.00,76.00,88.00,30.00
1773.00,65.00,71.00,31.00
1613.00,69.00,72.00,35.00
1834.00,60.00,97.00,27.00
1955.00,70.00,91.00,26.00
2278.00,95.00,113.00,24.00
2126.00,80.00,97.50,25.00
2254.00,54.00,97.00,23.00
2408.00,90.00,140.00,20.00
2226.00,86.00,122.00,21.00
4274.00,165.00,350.00,13.00
4385.00,175.00,400.00,14.00
4135.00,150.00,318.00,15.00
4129.00,153.00,351.00,14.00
3672.00,150.00,304.00,17.00
4633.00,208.00,429.00,11.00
4502.00,155.00,350.00,13.00
4456.00,160.00,350.00,12.00
4422.00,190.00,400.00,13.00
2330.00,97.00,70.00,19.00
3892.00,150.00,304.00,15.00
4098.00,130.00,307.00,13.00
4294.00,140.00,302.00,13.00
4077.00,150.00,318.00,14.00
2933.00,112.00,121.00,18.00
2511.00,76.00,121.00,22.00
2979.00,87.00,120.00,21.00
2189.00,69.00,96.00,26.00
2395.00,86.00,122.00,22.00
2288.00,92.00,97.00,28.00
2506.00,97.00,120.00,23.00
2164.00,80.00,98.00,28.00
2100.00,88.00,97.00,27.00
4100.00,175.00,350.00,13.00
3672.00,150.00,304.00,14.00
3988.00,145.00,350.00,13.00
4042.00,137.00,302.00,14.00
3777.00,150.00,318.00,15.00
4952.00,198.00,429.00,12.00
4464.00,150.00,400.00,13.00
4363.00,158.00,351.00,13.00
4237.00,150.00,318.00,14.00
4735.00,215.00,440.00,13.00
4951.00,225.00,455.00,12.00
3821.00,175.00,360.00,13.00
3121.00,105.00,225.00,18.00
3278.00,100.00,250.00,16.00
2945.00,100.00,232.00,18.00
3021.00,88.00,250.00,18.00
